Player ID,National Team,Debut Date,Games Played,Goals Scored
507345,Schweiz U21,13.10.2020,24,1
507345,Schweiz U19,05.09.2019,4,-
507345,Schweiz U17,28.08.2018,9,1
507345,Schweiz U16,19.09.2017,8,-
507345,Schweiz U15,13.09.2016,6,-
499324,Schweiz U20,23.09.2022,2,-
499324,Schweiz U18,10.10.2019,1,-
499324,Schweiz U15,16.05.2017,2,1
507340,Schweiz U18,08.10.2019,1,-
507340,Schweiz U17,-,-,-
507340,Schweiz U16,19.09.2017,2,-
507340,Schweiz U15,25.04.2017,2,-
507334,Schweiz U18,10.10.2019,1,-
507334,Schweiz U16,-,-,-
507334,Schweiz U15,15.09.2016,4,-
539798,Schweiz U21,10.09.2024,3,1
539798,Schweiz U20,23.09.2022,3,-
539798,Schweiz U19,03.09.2021,2,-
539798,Schweiz U15,19.09.2017,2,-
507344,Schweiz,07.10.2020,7,-
507344,Schweiz U21,08.10.2021,13,-
507344,Schweiz U19,08.10.2019,3,-
507344,Schweiz U17,28.09.2017,12,-
507344,Schweiz U16,19.09.2017,2,-
507344,Schweiz U15,13.09.2016,7,2
507338,Schweiz U15,-,4,1
507343,Schweiz U18,08.10.2019,2,-
507343,Schweiz U17,28.08.2018,7,-
507343,Schweiz U16,21.09.2017,3,-
507343,Schweiz U15,27.04.2017,1,-
507346,Schweiz U17,-,-,-
507346,Schweiz U15,-,5,-
507342,Schweiz U18,-,-,-
507342,Schweiz U16,21.09.2017,3,-
507342,Schweiz U15,13.09.2016,5,2
509830,Schweiz U16,-,-,-
509830,Schweiz U15,-,-,-
681296,Schweiz U15,17.10.2017,2,-
507339,Schweiz U20,28.03.2022,3,-
507339,Schweiz U18,08.10.2019,1,-
507339,Schweiz U17,28.08.2018,7,1
507339,Schweiz U16,17.10.2017,4,-
507339,Schweiz U15,18.10.2016,4,-
499330,Serbien U21,12.10.2023,5,-
499330,Schweiz U18,08.10.2019,2,-
499330,Schweiz U17,28.08.2018,2,-
499330,Schweiz U16,19.09.2017,4,1
499330,Schweiz U15,15.09.2016,4,1
507337,Schweiz U17,28.08.2018,5,1
507337,Schweiz U16,19.09.2017,5,3
507337,Schweiz U15,13.09.2016,6,2
499348,Schweiz U17,28.08.2018,3,-
499348,Schweiz U16,19.09.2017,5,-
499348,Schweiz U15,27.04.2017,1,-
507335,Schweiz U17,27.09.2018,2,-
507335,Schweiz U15,20.10.2016,3,1
507341,Schweiz,24.11.2022,14,-
507341,Schweiz U21,31.03.2021,19,6
507341,Schweiz U20,07.10.2020,1,-
507341,Schweiz U19,12.02.2020,1,-
507341,Schweiz U17,12.03.2018,13,4
507341,Schweiz U16,19.09.2017,4,-
507341,Schweiz U15,13.09.2016,7,-
507410,Schweiz U15,13.09.2016,2,-
507336,Schweiz U16,-,-,-
507336,Schweiz U15,-,-,-
471140,Schweiz U18,08.10.2019,2,-
471140,Schweiz U17,28.08.2018,7,1
471140,Schweiz U16,19.09.2017,6,1
471140,Schweiz U15,13.09.2016,5,5
499345,Schweiz U17,28.08.2018,5,3
499345,Schweiz U16,19.09.2017,4,1
499345,Schweiz U15,13.09.2016,4,-
507333,Schweiz U17,28.08.2018,2,-
507333,Schweiz U16,19.09.2017,3,-
507333,Schweiz U15,25.04.2017,1,-
509829,Schweiz U17,25.09.2018,4,1
509829,Schweiz U15,18.05.2017,1,-
539805,Schweiz U15,19.09.2017,4,-
496237,Schweiz U18,09.10.2018,1,-
496237,Schweiz U17,01.09.2017,6,-
496237,Schweiz U16,08.09.2016,4,-
496237,Schweiz U15,26.05.2016,1,-
507449,Schweiz U16,18.10.2016,1,-
507449,Schweiz U15,22.09.2015,2,-
507448,Schweiz U19,-,-,-
507448,Schweiz U15,26.05.2016,1,-
507450,Schweiz U18,-,1,-
507450,Schweiz U17,30.08.2017,7,-
507450,Schweiz U16,06.09.2016,5,-
507450,Schweiz U15,-,-,-
507524,Schweiz U15,18.10.2016,1,-
507391,Schweiz U21,-,-,-
507391,Schweiz U20,23.09.2022,1,-
507391,Schweiz U15,13.09.2016,2,-
500751,Schweiz U20,07.10.2020,1,-
500751,Schweiz U19,12.02.2020,1,-
500751,Schweiz U18,14.05.2019,1,-
500751,Schweiz U17,01.09.2017,2,-
500751,Schweiz U16,06.09.2016,7,-
500751,Schweiz U15,24.05.2016,2,-
499327,Schweiz U17,28.08.2018,4,-
499327,Schweiz U16,19.09.2017,5,-
499327,Schweiz U15,15.09.2016,1,-
492688,Schweiz U16,18.10.2016,2,-
492688,Schweiz U15,27.04.2016,4,-
388223,Schweiz U17,30.08.2018,4,-
388223,Schweiz U16,19.09.2017,5,-
388223,Schweiz U15,13.09.2016,3,1
507454,Schweiz U15,28.04.2016,1,-
507461,Schweiz U17,30.08.2017,11,-
507461,Schweiz U16,06.09.2016,8,-
507461,Schweiz U15,22.09.2015,6,-
507531,Schweiz U15,20.10.2016,1,-
507478,Schweiz U19,05.09.2019,2,-
507478,Schweiz U18,11.10.2018,3,-
507478,Schweiz U16,06.09.2016,8,-
507478,Schweiz U15,22.09.2015,4,2
507418,Schweiz U15,13.09.2016,3,1
507455,Schweiz U21,25.03.2022,11,-
507455,Schweiz U19,05.09.2019,3,-
507455,Schweiz U18,11.10.2018,1,-
507455,Schweiz U16,06.09.2016,1,-
507455,Schweiz U15,-,4,-
507453,Schweiz U15,28.04.2016,1,-
500770,Schweiz U19,11.09.2018,1,-
500770,Schweiz U16,21.09.2017,1,-
500770,Schweiz U15,15.09.2016,3,1
507464,Schweiz U18,09.10.2018,1,-
507464,Schweiz U16,20.10.2016,3,-
507464,Schweiz U15,22.09.2015,4,-
500757,Schweiz U18,09.10.2018,3,-
500757,Schweiz U16,18.10.2016,1,-
500757,Schweiz U15,26.05.2016,1,-
499196,Schweiz U18,09.10.2018,2,-
499196,Schweiz U15,22.09.2015,3,-
507480,Schweiz U20,07.10.2020,1,-
507480,Schweiz U19,05.09.2019,8,-
507480,Schweiz U18,26.03.2019,1,-
507480,Schweiz U17,28.09.2017,2,-
507480,Schweiz U16,-,-,-
507480,Schweiz U15,28.04.2016,2,-
507416,Schweiz U15,13.09.2016,2,-
507467,Schweiz U20,07.10.2020,1,-
507467,Schweiz U19,05.09.2019,5,-
507467,Schweiz U16,06.09.2016,4,-
507469,Schweiz U18,09.10.2018,2,-
507469,Schweiz U17,28.09.2017,1,-
507469,Schweiz U16,06.09.2016,9,1
507469,Schweiz U15,26.05.2016,2,-
507466,Schweiz U20,07.10.2020,1,-
507466,Schweiz U19,05.09.2019,7,2
507466,Schweiz U18,14.05.2019,2,-
507466,Schweiz U17,30.08.2017,3,-
507466,Schweiz U16,06.09.2016,4,-
507466,Schweiz U15,26.05.2016,1,-
507470,Schweiz U15,26.05.2016,1,-
507486,Schweiz,07.10.2020,1,-
507486,Schweiz U21,12.11.2020,22,-
507486,Schweiz U19,16.11.2018,11,1
507486,Schweiz U18,11.10.2018,1,-
507486,Schweiz U17,30.08.2017,12,1
507486,Schweiz U16,06.09.2016,9,1
507486,Schweiz U15,28.04.2016,1,-
507472,Schweiz U21,04.09.2020,20,1
507472,Schweiz U19,05.09.2019,6,-
507472,Schweiz U18,09.10.2018,4,1
507472,Schweiz U17,30.08.2017,11,-
507472,Schweiz U16,18.10.2016,4,-
507472,Schweiz U15,22.09.2015,5,1
499214,Schweiz U20,07.10.2020,1,-
499214,Schweiz U19,09.09.2019,5,3
499214,Schweiz U18,09.10.2018,2,-
499214,Schweiz U17,01.09.2017,6,1
499214,Schweiz U16,18.10.2016,3,-
499214,Schweiz U15,27.04.2016,3,-
499218,Schweiz U17,30.08.2017,3,-
499218,Schweiz U16,06.05.2017,3,-
499218,Schweiz U15,26.05.2016,1,-
507479,Schweiz U21,30.05.2021,17,-
507479,Schweiz U19,05.09.2019,7,4
507479,Schweiz U18,14.05.2019,2,-
507479,Schweiz U17,28.09.2017,1,-
507479,Schweiz U16,18.10.2016,2,-
507479,Schweiz U15,27.04.2016,4,1
500762,Schweiz U21,25.03.2022,8,1
500762,Schweiz U20,07.10.2020,1,-
500762,Schweiz U19,10.10.2018,8,1
500762,Schweiz U18,10.10.2018,3,-
500762,Schweiz U17,30.08.2017,13,5
500762,Schweiz U16,06.09.2016,7,-
500762,Schweiz U15,22.09.2015,3,1
507415,Schweiz U16,-,-,-
507415,Schweiz U15,18.10.2016,2,-
507398,Schweiz U18,-,-,-
507398,Schweiz U17,27.09.2018,4,-
507398,Schweiz U15,15.09.2016,1,-
499205,Schweiz U15,24.05.2016,1,-
507490,Schweiz,15.10.2024,1,-
507490,Schweiz U17,26.09.2017,4,1
507490,Schweiz U16,06.09.2016,4,-
507490,Schweiz U15,26.05.2016,1,-
507477,Schweiz U21,03.09.2021,7,-
507477,Schweiz U20,07.10.2020,1,-
507477,Schweiz U19,05.09.2019,4,1
507477,Schweiz U18,11.10.2018,4,1
507477,Schweiz U17,30.08.2017,11,1
507477,Schweiz U16,06.09.2016,9,2
507477,Schweiz U15,27.04.2016,2,-
500758,Schweiz U21,22.09.2022,2,-
500758,Schweiz U20,07.10.2020,1,-
500758,Schweiz U19,05.09.2019,5,-
500758,Schweiz U18,11.10.2018,1,-
500758,Schweiz U17,26.10.2017,1,-
500758,Schweiz U16,06.09.2016,7,-
500758,Schweiz U15,22.09.2015,4,1
507462,Schweiz U16,06.05.2017,3,-
507462,Schweiz U15,27.04.2016,3,-
507426,Schweiz U16,-,-,-
507426,Schweiz U15,15.09.2016,1,-
507463,Schweiz U19,08.10.2019,2,-
507463,Schweiz U17,30.08.2017,8,-
507463,Schweiz U16,06.09.2016,4,-
507463,Schweiz U15,27.04.2016,3,-
507496,Schweiz U21,09.10.2020,19,4
507496,Schweiz U19,05.09.2019,7,3
507496,Schweiz U17,30.08.2017,12,5
507496,Schweiz U16,06.09.2016,9,1
507496,Schweiz U15,22.09.2015,5,-
507494,Schweiz U20,07.10.2020,1,-
507494,Schweiz U19,12.02.2020,1,-
507494,Schweiz U18,09.10.2018,1,-
507494,Schweiz U17,30.08.2017,3,-
507494,Schweiz U16,18.10.2016,7,1
507494,Schweiz U15,-,-,-
500760,Schweiz U18,09.10.2018,1,-
500760,Portugal U17,19.12.2017,2,1
500760,Schweiz U15,22.09.2015,4,1
507423,Schweiz U15,13.09.2016,1,-
435047,Schweiz U15,26.05.2016,1,-
