Player ID,National Team,Debut Date,Games Played,Goals Scored,National Team ID
79392,Schweiz U20,07.10.2010,8,1,16817
123021,Schweiz,15.11.2014,21,-,3384
123021,Schweiz U21,10.11.2011,3,-,9534
91879,Schweiz U21,02.06.2012,1,-,9534
91879,Schweiz U20,12.05.2010,2,-,16817
68004,Demokratische Republik Kongo,21.05.2010,5,-,3854
68004,Schweiz U21,25.03.2011,13,2,9534
150963,Schweiz U21,10.09.2012,1,-,9534
150963,Schweiz U20,06.09.2010,12,-,16817
74996,Bosnien-Herzegowina,06.09.2013,27,6,3446
74996,Schweiz,14.11.2012,1,-,3384
74996,Schweiz U21,10.08.2011,4,-,9534
74996,Schweiz U20,25.03.2011,3,-,16817
92111,Schweiz U21,-,-,-,9534
42205,Schweiz,30.05.2012,94,-,3384
42205,Schweiz U21,22.08.2007,31,-,9534
42205,Schweiz U19,24.08.2005,18,-,19429
42205,Schweiz U17,12.11.2003,10,-,23140
42205,Schweiz U16,26.08.2003,6,-,28155
33651,Schweiz U21,10.02.2009,5,-,9534
33651,Schweiz U20,12.10.2007,3,-,16817
33651,Schweiz U19,14.11.2006,1,-,19429
33651,Schweiz U18,14.09.2005,3,-,22998
33651,Schweiz U17,28.08.2003,10,-,23140
33651,Schweiz U16,07.11.2002,6,-,28155
42203,Schweiz,15.11.2013,3,-,3384
42203,Schweiz U21,22.08.2007,25,2,9534
42203,Schweiz U19,16.08.2006,1,-,19429
65255,Schweiz,10.08.2011,17,-,3384
65255,Schweiz U21,11.08.2010,12,-,9534
65255,Schweiz Olympia,26.07.2012,3,-,53823
54916,Schweiz,03.03.2010,1,-,3384
54916,Schweiz U21,19.11.2008,23,1,9534
54916,Schweiz U20,19.08.2008,3,-,16817
54916,Schweiz U19,21.08.2007,8,-,19429
54916,Schweiz U18,06.09.2006,4,-,22998
54916,Schweiz U17,04.07.2005,12,-,23140
54916,Schweiz U16,12.10.2004,10,-,28155
19671,Bosnien-Herzegowina,25.03.2017,2,-,3446
19671,Schweiz U21,22.08.2007,16,1,9534
19671,Schweiz U20,14.11.2007,1,-,16817
19671,Schweiz U19,16.11.2005,16,1,19429
19671,Schweiz U17,26.08.2003,17,3,23140
19671,Schweiz U16,26.08.2002,14,2,28155
43084,Schweiz,10.08.2011,1,-,3384
43084,Schweiz U21,19.11.2008,20,-,9534
43084,Schweiz U20,05.09.2007,6,-,16817
43084,Schweiz U19,16.08.2006,4,-,19429
43084,Schweiz U18,14.09.2005,3,-,22998
43084,Schweiz U17,31.03.2005,5,-,23140
47544,Schweiz,30.05.2012,2,-,3384
47544,Schweiz U21,12.08.2009,3,-,9534
47544,Schweiz U20,-,-,-,16817
47544,Schweiz U19,21.08.2007,9,-,19429
47544,Schweiz U18,06.09.2006,5,-,22998
47544,Schweiz U17,04.07.2005,12,3,23140
47544,Schweiz U16,12.10.2004,11,4,28155
47544,Schweiz Olympia,26.07.2012,2,-,53823
52595,Schweiz,07.10.2011,24,3,3384
52595,Schweiz U21,19.11.2008,22,5,9534
52595,Schweiz U20,19.08.2008,3,-,16817
52595,Schweiz U19,11.09.2007,7,5,19429
52595,Schweiz U18,06.09.2006,5,2,22998
52595,Schweiz U17,04.07.2005,14,10,23140
52595,Schweiz U16,12.10.2004,11,4,28155
52595,Schweiz Olympia,26.07.2012,3,-,53823
40813,Schweiz U21,19.11.2008,19,2,9534
40813,Schweiz U20,12.10.2007,6,-,16817
40813,Schweiz U19,02.05.2007,1,-,19429
40813,Schweiz Olympia,26.07.2012,2,-,53823
65290,Schweiz U21,03.03.2010,5,1,9534
65290,Schweiz U20,19.08.2008,5,2,16817
65290,Schweiz U19,11.09.2007,3,2,19429
41207,Schweiz,11.08.2010,7,1,3384
41207,Schweiz U21,19.11.2008,14,1,9534
41207,Schweiz U20,08.10.2008,1,1,16817
41207,Schweiz U19,16.08.2006,1,-,19429
41207,Schweiz U18,14.09.2005,6,-,22998
41207,Schweiz U17,01.10.2003,10,3,23140
41207,Schweiz U16,11.03.2003,8,2,28155
46039,Venezuela,02.09.2011,14,2,3504
46039,Schweiz U21,22.08.2007,27,5,9534
46039,Schweiz U20,05.09.2007,1,-,16817
46039,Schweiz U19,16.08.2006,14,1,19429
46039,Schweiz U18,17.05.2006,1,-,22998
66022,Schweiz,04.06.2011,9,-,3384
66022,Schweiz U21,09.02.2011,8,5,9534
66022,Schweiz Olympia,26.07.2012,3,1,53823
61380,Schweiz,26.03.2011,41,16,3384
61380,Schweiz U21,10.02.2009,17,3,9534
61380,Schweiz U20,19.08.2008,4,-,16817
61380,Schweiz U19,21.08.2007,8,6,19429
61380,Schweiz U18,18.10.2006,3,2,22998
61505,Serbien,11.06.2017,13,2,3438
61505,Schweiz U21,10.08.2011,2,-,9534
61505,Schweiz U20,28.04.2010,2,1,16817
61505,Serbien U19,18.10.2007,8,3,17383
61505,Serbien U18,30.05.2007,3,-,21137
61505,Serbien U17,04.03.2007,5,2,21136
41767,Schweiz U21,10.02.2009,3,-,9534
41767,Schweiz U20,05.09.2007,9,2,16817
